species,common_en,common_local,feature,coefficient_log_odds_per_1sd,odds_ratio_per_1sd,signed_relative_weight,absolute_relative_weight,direction,feature_mean,feature_std,n_presence,n_background,auc_training
Chromis chromis,Damselfish,Crnik,depth_m,-2.347072743458742,0.09564874121957481,-0.3370361553541251,0.3370361553541251,negative,1320.0382399787532,1277.6039603731545,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,temperature_c,-0.8184419228755958,0.44111841586639927,-0.11752704292417136,0.11752704292417136,negative,19.821206252249784,1.6276422457870903,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,salinity_psu,0.29089688993937723,1.3376266540737862,0.041772360768486436,0.041772360768486436,positive,37.80333256405575,1.258717247644259,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,chlorophyll_mg_m3,0.043731775763184516,1.0447021028806889,0.006279817960951713,0.006279817960951713,positive,0.18408710483165466,0.2598738725814447,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,light_attenuation_kdpar,-0.3294638814691217,0.7193092651038098,-0.04731052339467121,0.04731052339467121,negative,0.07389709033374776,0.019189485417021465,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,slope_degree,-0.14968063552396826,0.8609828998750202,-0.021493916653651916,0.021493916653651916,negative,1.443245242065103,1.7803265842603901,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,terrain_ruggedness_index,0.4719136535347284,1.6030589592756737,0.06776609880956568,0.06776609880956568,positive,109.27963721821317,128.09030116078048,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,distance_to_coast_km,-2.5126589206372505,0.0810524404654687,-0.3608140841343766,0.3608140841343766,negative,73.08492078119107,79.34480727532866,358,2000,0.9662437150837989
Diplodus vulgaris,Common two-banded seabream,Fratrc,depth_m,-2.1971568252279243,0.111118639378169,-0.33958280193665213,0.33958280193665213,negative,1329.2413594117531,1278.5823618277784,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,temperature_c,-0.71212934247454,0.49059843238008644,-0.11006354880185845,0.11006354880185845,negative,19.80084671886603,1.6440807120934968,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,salinity_psu,0.16998448864327434,1.1852864657765807,0.026272047710233015,0.026272047710233015,positive,37.76208679331249,1.3084015514034062,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,chlorophyll_mg_m3,0.01118719512390305,1.0112500057978386,0.001729043199086601,0.001729043199086601,positive,0.18886925871270188,0.2643610123967224,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,light_attenuation_kdpar,-0.1608601685033387,0.8514111168745299,-0.02486183330800665,0.02486183330800665,negative,0.0746719273771814,0.019716607747124203,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,slope_degree,-0.20164851651637006,0.8173821737920949,-0.0311658992470393,0.0311658992470393,negative,1.3825576890664437,1.7355184019846814,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,terrain_ruggedness_index,0.41704409283222216,1.517469420984573,0.06445648300976607,0.06445648300976607,positive,104.78982966060686,125.3134385724312,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,distance_to_coast_km,-2.600154563666603,0.07426209910490282,-0.4018683427873578,0.4018683427873578,negative,73.63574815691017,79.39111554443024,340,2000,0.9620176470588235
Parablennius incognitus,Mystery blenny,Babica jelenka,depth_m,-2.053876929754152,0.12823677364102465,-0.32277874883783453,0.32277874883783453,negative,1430.1704146057023,1276.1760561005046,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,temperature_c,-0.9591433166321505,0.3832210444860942,-0.15073497112397788,0.15073497112397788,negative,19.84438594455894,1.6755946058672637,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,salinity_psu,0.7086109814467365,2.031167968306578,0.11136235218899206,0.11136235218899206,positive,37.788162806763665,1.2250697385021254,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,chlorophyll_mg_m3,0.2601031591399925,1.2970638837592205,0.040876729788295735,0.040876729788295735,positive,0.18836340950567082,0.2970591411038187,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,light_attenuation_kdpar,-0.017747344579742245,0.9824092120173398,-0.002789098799278504,0.002789098799278504,negative,0.07458183654857603,0.01978981536037403,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,slope_degree,0.059945112012848356,1.0617782660740993,0.0094207242771684,0.0094207242771684,positive,1.3464477314862238,1.6862732231918438,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,terrain_ruggedness_index,-0.026182536555932584,0.9741572540684051,-0.004114738458032334,0.004114738458032334,negative,101.56228639735305,120.61651274850996,165,2000,0.9659045454545454
Parablennius incognitus,Mystery blenny,Babica jelenka,distance_to_coast_km,-2.277501379645437,0.1025400956679313,-0.3579226365264206,0.3579226365264206,negative,79.38477828522106,79.79008189827407,165,2000,0.9659045454545454
Parablennius rouxi,Longstriped blenny,Crnoboka babica,depth_m,-2.037257757214607,0.13038577052108652,-0.3037237755375725,0.3037237755375725,negative,1402.144272717626,1276.0804080198293,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,temperature_c,-1.3685959004032,0.25446400163491534,-0.20403658426807297,0.20403658426807297,negative,19.797548612755122,1.6809915301954417,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,salinity_psu,0.8130713409669945,2.2548226918389935,0.12121642270614198,0.12121642270614198,positive,37.79850417462843,1.2069549883805522,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,chlorophyll_mg_m3,0.17381697411714767,1.1898377747810915,0.025913435570153735,0.025913435570153735,positive,0.18645699353189682,0.29431036874216177,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,light_attenuation_kdpar,-0.07272320947055234,0.9298581703447492,-0.010841911226689791,0.010841911226689791,negative,0.07473741193918325,0.019830667097654183,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,slope_degree,-0.07266085004341849,0.929916157575574,-0.010832614395897328,0.010832614395897328,negative,1.3727940685495696,1.710457711241896,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,terrain_ruggedness_index,0.10260145758577584,1.108049716256195,0.015296298155328245,0.015296298155328245,positive,103.5895062587379,122.71402720393729,214,2000,0.9662827102803738
Parablennius rouxi,Longstriped blenny,Crnoboka babica,distance_to_coast_km,-2.0668730383715923,0.12658097736129256,-0.30813895814014336,0.30813895814014336,negative,77.78329633350094,79.64216159220749,214,2000,0.9662827102803738
